profile,controller,seed,L,V,unsafe_duration,impulse_shortfall,failure,max_p,max_a,max_h,max_abs_phi,min_m,final_I,C_U,C_R,fail_p,fail_a,fail_h,fail_phi,fail_m,fail_I
combined_moderate,a10_thermal_refined_v04,5006,1.7367578328925835,7.043348855078163e-05,0.3014285714285714,0.0,1,0.8387751482831971,0.3379195576764396,1.0272912432155497,0.0008519631831829424,0.5694742266480257,1.1421555745584087,0.9638644359510544,30.738831936945886,0,0,1,0,0,0
combined_moderate,a10_thermal_refined_v04,5007,2.387343752059276,0.0,0.0,0.0,0,0.8394641781592354,0.3851838475613201,0.9507834771325478,0.0006534538526822873,0.3371684663238846,1.1579745436433462,0.8255535298194332,44.44466092190778,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5008,2.5660161335011007,0.0,0.0,0.0,0,0.8378403622366467,0.3170602592436349,0.9843946357616307,0.0007243960607828846,0.39961916272333936,1.1487696356800545,0.8806345167082379,47.79778460318906,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5009,1.861370795919417,0.0005809854048342213,0.6014285714285714,0.0,1,0.8388422172555506,0.24462694958299028,1.04093543818323,0.0008084974895110796,0.653987981438252,1.1387464080628837,0.9758283785852976,32.16213159437871,0,0,1,0,0,0
combined_moderate,a10_thermal_refined_v04,5010,2.8601641862467764,0.0,0.0,0.0,0,0.8420653712936463,0.31082127590303693,0.9245094623742361,0.0008880821428853119,0.27892149264800026,1.1688057251578667,0.7548119033174384,54.18403611166577,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5011,3.0867876707702937,0.0,0.0,0.0,0,0.8414162149173294,0.3025214124671885,0.9762839010780182,0.0008769745839188463,0.23898581037015781,1.155620897846862,0.8468740719262835,58.348257127700734,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5012,2.89174631781599,0.007216525430062886,0.7157142857142857,0.0,1,0.835438556418642,0.33051513802457627,1.1302074114083007,0.001051181275789308,0.5897895230311657,1.121552115007896,1.1658995575696034,38.73827726591561,0,0,1,0,0,0
combined_moderate,a10_thermal_refined_v04,5013,3.5942933189236115,0.0020199217734663175,0.6442857142857144,0.0,1,0.8377435394148,0.3218194013242962,1.0777831553543777,0.0007221805550517143,0.19847240205424474,1.1319320837708837,1.0700984948437464,63.56562885216461,0,0,1,0,0,0
combined_moderate,a10_thermal_refined_v04,5014,3.128701926142245,0.0018222575826233995,0.6071428571428572,0.0,1,0.8378185557343125,0.312590806518579,1.0825290929793303,0.0008500287124871153,0.34493427268750393,1.1339521934255103,1.030184143383058,54.80878678406586,0,0,1,0,0,0
combined_moderate,a10_thermal_refined_v04,5015,1.4437548658834114,0.0,0.0,0.0,0,0.8407153235892413,0.2916355791860461,0.9177094325945111,0.0008990219114321891,0.6597967000215293,1.164853644762342,0.7622443759706565,25.8261198137856,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5016,2.6791441772767888,0.005262110349373097,0.6928571428571428,0.0,1,0.8356407436644737,0.3123702751262498,1.1143221484184973,0.001250302863127147,0.6066506566035431,1.1253564565360914,1.1212426099306818,38.57369240706686,0,0,1,0,0,0
combined_moderate,a10_thermal_refined_v04,5017,2.642963509609137,0.0016483922237601441,0.6557142857142857,0.0,1,0.8356089099336629,0.21055126375144465,1.0588611324181703,0.0008271818161406288,0.3320522322541531,1.1343135424827113,1.0055765849319684,45.54017940493458,0,0,1,0,0,0
combined_moderate,a10_thermal_refined_v04,5018,1.8148301072496265,0.0,0.0,0.0,0,0.8393378640366687,0.26428312000603377,0.9967886773523947,0.0007894087357150434,0.5920409188468029,1.1469888719627894,0.8989407206584046,32.70083926235891,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5019,1.5523805867681182,0.0,0.0,0.0,0,0.8384924699051018,0.3566201417414716,0.9820633726436507,0.0008395345928207309,0.6695632392692048,1.1496050485441385,0.8928056830381917,27.476389003209597,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5020,1.713205963966325,0.0,0.0,0.0,0,0.8407310466519651,0.34605562194813716,0.9646702051156004,0.0009259243828846274,0.6121615285934586,1.158521226702487,0.8215926405126395,30.97774871727594,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5021,2.7490417751003866,6.247208895543753e-05,0.3957142857142857,0.0,1,0.8360608218045323,0.2844805633031809,1.02153548500784,0.0006997093912358909,0.34738446467911976,1.1415878094300358,0.9441180844259519,51.079418986393044,0,0,1,0,0,0
combined_moderate,a10_thermal_refined_v04,5022,3.0426593395178063,5.817122835619772e-07,0.01285714285714279,0.0,1,0.840429088691492,0.31012655535464423,0.990736496584767,0.0009093312796733149,0.1383593400554486,1.1509974726684187,0.8830032667567362,57.32001029876206,0,0,0,0,1,0
combined_moderate,a10_thermal_refined_v04,5023,2.809397714772788,0.0,0.0,0.0,0,0.8406894144922794,0.3688901568803599,0.991043132568301,0.0008027779331494204,0.2577933992623724,1.1522339315471215,0.8888601067331475,52.632513868523176,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5024,1.500340499815349,0.0,0.0,0.0,0,0.8407017242847861,0.33006181482015473,0.9758827141947799,0.0008119432488391602,0.7099050841246202,1.155127755890371,0.8571216941174916,26.578323219837007,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5025,3.3539005234829666,0.003090037543368301,0.6757142857142857,0.0,1,0.8350596693295688,0.33979489359703613,1.102833650483503,0.0007843749474699471,0.2081041973862511,1.1272216631848744,1.1101771757020198,56.457226680114644,0,0,1,0,0,0
combined_moderate,a10_thermal_refined_v04,5026,1.7829615188033086,0.0,0.0,0.0,0,0.8391249819891963,0.34594872610395794,0.9744467595407306,0.0008671808693835933,0.5617586585107978,1.1545118558094887,0.8421737833171702,32.29053524279749,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5027,3.144303758637675,0.0,0.0,0.0,0,0.8406916839685348,0.2840982980473329,0.9955254275986698,0.001101664464683975,0.15365486760789768,1.1479372767093068,0.900093298310444,59.28570197951172,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5028,3.803325224917442,0.004602539430489227,0.71,0.0,1,0.8328634406683562,0.30441209010520753,1.1082221858411683,0.0007107643911489582,0.19365548517348594,1.1242628340888634,1.108256977186283,62.42839772862526,0,0,1,0,0,0
combined_moderate,a10_thermal_refined_v04,5029,3.3893653745794805,6.261338573760534e-05,0.12428571428571422,0.0,1,0.8395064721825031,0.2632245531597522,1.002614740347599,0.0010886389215590308,0.0959845055118996,1.1468560781358783,0.9044922824596286,64.04411159027588,0,0,1,0,1,0
combined_harsh,no_control,5000,13.390626027120584,0.13274446027120584,0.8014285714285714,0.0,1,0.8906704681384836,0.5098779822817288,1.6191909328572454,0.0020502478252283347,0.9183273761318599,1.2625098764637905,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5001,20.433826901134406,0.20317646901134406,0.7957142857142857,0.0,1,0.8908739917878298,0.5456235358223396,1.72749566824664,0.0021253782369838755,0.9183273761318599,1.2570129417026612,0.5809,2.524354896707235e-28,0,0,1,0,0,0
